# Program:featureCounts v2.0.1; Command:"featureCounts" "-T" "1" "-t" "exon" "-g" "gene_id" "-a" "annotation.gtf" "-o" "mouse_cns_E18_rep1.counts.txt" "./mouse_cns_E18_rep1.Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	./mouse_cns_E18_rep1.Aligned.sortedByCoord.out.bam
ENSMUSG00000005540	chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8	681738;682304;682304;682811;682811;683339;683339;683339;683339;683339;683567;683567;683567;683567;683567;687921;687921;687921;687921;687921;688118;688118;688118;688118;688118;688288;688288;688288;688288;688288;688535;688535;688535;688535;688799;688799;688799;688799;689778;689778;689778;689778;689778;690023;690023;690023;690023;690023;690328;690810;690810;690810;691120;694085	683008;683008;683008;683008;683008;683444;683444;683444;683444;683444;683717;683717;683717;683717;683717;688009;688009;688009;688009;688009;688179;688179;688179;688179;688179;688349;688349;688349;688349;688349;688596;688596;688596;688596;688860;688860;688860;688860;689830;689830;689830;689830;689830;690141;690141;690141;690141;690141;690345;690827;690827;690827;691221;694174	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2265	7
ENSMUSG00000005907	chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5	596067;596067;596200;603233;603233;603233;604797;604797;604797;604823;605435;605435;605435;605435;605648;605648;605648;606203;607668;609620;609855;609855;609855;610180;610180;610180;612882;612882;612882;612882;615076;615076;615076;615076;618818;618818;618818;618899;620596;620596;620596;620596;622234;622234;622234;623942;623942;623942;624421;624421;624421;626001;626001;627519;627519;629971;629971;630190;630190;631590;631590;633717;633717;635316;635316;635781;635781;636772;636772	596517;596517;596366;603375;603375;603375;604879;604879;604879;604879;605548;606121;605548;605548;605862;606410;606410;606410;607786;609749;609977;609977;609977;610288;610288;610288;612963;612963;612963;612963;618117;615207;615207;615207;618913;618913;618913;618913;620811;620711;620765;620765;622387;622387;622387;624130;624130;624130;624505;624586;624586;626134;626134;627582;627582;630112;630112;630292;630292;631765;631765;633946;633946;635512;635512;635910;635910;637232;637230	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	7716	446
ENSMUSG00000005982	chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16	872376;884669;884684;884687;884714;884770;894370;894370;894370;894370;894370;894370;895515;895515;897252;897252;897252;897252;897252;897252;899873;899873;899873;899873;899927;900644;900644;900644;900694;900848;901784;901784;901784;901784;903467;903467;903467	872581;884806;884806;884806;884806;884846;894484;894484;894484;894484;894484;894484;895800;895967;897380;897379;897380;897348;897380;897380;899968;900400;899968;899968;899968;900811;900877;900877;900877;900877;902376;902125;902125;902125;903749;904769;904770	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3740	1212
ENSMUSG00000005983	chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16	895182;897230;904304;906842;906842;907014;907616;908000;908451	895414;897345;906300;907194;907194;907194;907757;908139;908689	-;-;-;-;-;-;-;-;-	3220	110
ENSMUSG00000006333	chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7	655596;655641;655644;655645;655651;655655;655818;655923;655928;655930;655930;655930;655967;656249;656249;656249;656249;656249;656249;656249;656249;656249;657219;657336;657336;657336;657336;657336;657611;657611;657611;658254;658254;658254;658254	655666;655666;655666;655666;656050;656050;656050;656050;656050;656050;656050;656050;656050;657031;656370;656479;656323;656370;656370;656370;656370;656370;657521;657521;657521;657983;657521;657521;657783;657830;658497;658496;658459;658478;658503	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2523	2564
ENSMUSG00000006335	chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7	571927;571927;571930;571938;572024;572350;572380;572380;572380;572382;572666;572666;572666;572666;572666;576197;576202;576202;576202;576202;580431;580431;580431;580431;580431;580431;581155;581155;581155;581155;581155	572076;572076;572018;572076;572076;572585;572585;572585;572548;572585;572734;572734;572734;572734;572734;576271;576271;576271;576271;576271;580688;580688;580714;580688;580688;580688;581181;581486;581181;581486;581531	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1191	158
ENSMUSG00000007415	chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5	632933;639962;641355;643078;643559;644882;644882;646785;646785;647381;647381	634030;641580;641539;643741;643741;644940;644940;646909;646909;647934;647806	-;-;-;-;-;-;-;-;-;-;-	4119	711
ENSMUSG00000008307	chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5	571567;571674;575624;575624;575689;577241;577241;577241;580406;580454;580499;582144;582144;582178;584241;584241;584241;584241	571810;571810;575778;575778;575778;577344;577344;577344;580556;580556;580556;582247;582247;582247;584341;584344;584356;584356	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	874	28
ENSMUSG00000008373	chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7	581588;581595;581662;582160;582161;582161;582161;582448;582448;582448;582448;584271;584271;584271;584907;584907;584907;585727;585727;585727;586296;586296;586296;587698;587804;587804;588265;588265;588265;588265;590234;590252;590461;590461;591179;591179;591392;591392;592400;592400	581658;581658;581789;582344;582344;582349;582344;583023;582507;582507;582507;584353;584353;584353;585003;585003;585003;585832;585832;585832;587960;586464;586464;587960;587960;587960;588659;588659;588353;588353;590360;590360;590532;590532;591306;591306;591489;591489;592831;594088	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	5425	364
ENSMUSG00000012705	chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8	655771;655790;656007;656007;656909;656909;657251;657251;659672	655843;655843;656145;656145;656985;656985;658096;657391;660110	+;+;+;+;+;+;+;+;+	1574	7
ENSMUSG00000013974	chr8;chr8;chr8;chr8;chr8;chr8;chr8	665763;666053;667007;667261;667400;668193;668333	665836;666141;667137;667310;667554;668245;668905	+;+;+;+;+;+;+	1125	2
ENSMUSG00000014232	chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16	898234;899873;908802;908826;909040;909077;909107;911151;911452;911452;911452;911452;911452;911452;913286;913286;913286;913286;913286;913286;915424;915424;915424;915424;915424;917827;917827;917827;917827;917827;919482;919482;919482;919482;923841;923841;923841;928491;928491;929841;929841;933708;937560;940769	898308;899968;908864;909153;909153;909301;909153;911274;911562;911562;911562;911562;911562;911562;913369;913369;913572;913369;913369;913369;915602;915602;915602;915602;915602;917925;917921;917921;917921;917921;919564;919564;919564;919564;923973;923912;923973;928631;928631;929867;929912;933814;937614;941147	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2441	800
ENSMUSG00000014529	chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5	657005;657180;657399;657399;661760;661760;661869;664258;664258;664258;665281;665281;665281;666796;666838;666838;669916;669916;670035;670035;673099;673099;676280;676280;679018;679662;680132	657263;657263;657526;657526;662033;662033;662033;664335;664335;664335;665333;665333;665333;666885;667214;666885;669952;669952;670121;670121;673187;673187;676326;676326;679544;679688;680325	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2219	0
ENSMUSG00000015202	chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10	134305;185735;192057;193591;203540;206104;208128;211036;211426;211874;211874;217395;217395;219699;219699;220358;220358;225956;225956	134909;185897;192258;193677;203580;206222;208186;211493;211493;212019;212019;217518;217518;219906;219906;220446;220446;227478;227478	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3824	624
ENSMUSG00000017688	chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3	508031;508031;634151;638060;638060;638060;641224;641224;641224;642965;642965;642965;644537;644537;644537;648035;648035;648035;651273;651273;651273;651549;651549;651549;652838;652838;652838;657056;657056;657056	508332;508332;634347;638230;638230;638230;641317;641317;641317;643070;643070;643070;644691;644691;644691;648121;648121;648121;651424;651424;651424;651784;651784;651784;652959;652959;652959;658052;657844;659775	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4342	22
ENSMUSG00000019368	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	931466;931469;931617;931787;931787;931787;931846;935127;935127;935127;935127;935127;935127;939440;939440;939440;939440;939440;939440;939440;939775;939775;939775;939775;939775;939775;939941;939941;939941;939941;939941;939941;940050;941741;941741;941741;941741;941741;941741;941741;941741;942195;942195;942195;942195;942195;942195;942195;942195;942403;943291;943291;943291;943291;943291;943291;943291;943657;943657;943657;943657;943837;943837;943837;943837;944068;944068;944068;944068;944068;946217;946217;946217;946217;946217	931520;931520;931664;931902;931902;931902;931902;935201;935201;935201;935201;935201;935201;939482;939482;939482;939482;939482;939482;939482;939833;939833;939833;939833;939833;939833;940128;940128;940128;940128;940128;940128;940128;941835;941835;941835;941835;941835;941835;941835;941835;942254;942254;942254;942254;942254;942254;942254;942254;942472;943373;943762;943373;943373;943358;943373;943373;943738;943975;943762;943762;943975;943975;943975;943975;944236;944236;944236;944236;944236;948027;946339;946339;946339;948027	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3474	0
ENSMUSG00000019470	chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8	608422;610088;610091;610312;610312;610312;610546;610546;610546;610848;610848;610848;611115;611115;611115;611395;611395;611395;611673;611673;611673;612964;612964;612964;613160;613160;613160;613369;613591;613591;613800;613800;614246;614246;614246;614318;615995;615995;615995;615995;615996;616251;616251;616251;616251;616251;618056;618056;618056;618056;618056;618544;618544;618544;618544;618544;618860;618946;618946;618946;618946;621229;621229;621229;621229;621229	610219;610219;610219;610420;610420;610420;610674;610674;610674;611018;611018;611018;611236;611236;611236;611584;611584;611584;611834;611834;611834;613076;613076;613076;613499;613950;613290;613499;613709;613709;613950;613950;614389;614389;614389;614389;616158;616158;616125;616158;616158;616384;616384;616384;616384;616384;618252;618252;618252;618252;618252;618666;618666;618666;618666;618666;619093;619093;619093;619093;619093;621305;621302;621270;621282;621316	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4669	810
ENSMUSG00000019734	chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7	617393;617394;617561;617705;617705;617705;618422;618422;618422;618651;618651;618651;619044;619044;619045;621177;621177;621177;621518;621518;621518;622277;622294;622541;622541;622877;622877;622877;622877;623566;623566;623566;626190;626190;626190;626190;626453;626453;626453;626453;626762;627029;627029;627029;627029;628167;628167;628167;628167;628167;629027;629027;629027	617610;617610;617610;617782;617782;617782;618576;618576;618576;618840;618780;618780;619226;619226;619226;621273;621273;621273;622084;621643;621643;622703;622703;622703;622703;623043;623712;623043;623043;623712;623712;623712;626310;626310;626310;626310;626684;626684;626684;626684;627173;627173;627173;627173;627173;628229;628370;628370;628395;628370;629126;629086;629112	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3845	72
ENSMUSG00000020430	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	863979;863979;864013;864053;868267;868267;868267;868267;869437;869437;869437;869437;870629;870629;870629;870629;873201;873201;873441;873453;875533;875533;875533;875744;875744;875744;876039;876039;876039;876292;876292;876292;876776;876776;876776;877020;877020;877630;877630;877875;877875;878831;878831	864063;864063;864063;864063;868345;868345;868345;868345;869589;869589;869589;869589;870737;870838;870737;870737;873371;873371;873541;873541;875648;875648;875648;875817;875817;875817;876124;876124;876124;876421;876421;876421;876887;876900;876900;877203;877203;877786;877786;878035;878035;880007;880007	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3009	173
ENSMUSG00000020432	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	817196;817196;817196;817196;817196;817196;817196;819294;819294;819294;819294;819294;819294;819294;822015;822015;822015;822015;822015;822015;822015;823400;823400;823400;823400;823400;823400;823400;823706;823706;823706;823706;823706;823706;823706;824945;824945;824945;824945;824945;824945;824945;826004;826004;826004;826004;826004;826004;826004;827394;827394;827394;827394;827394;827394;827394;831397;831397;831397;831397;831397;831397;831397;831729;831729;831931;831980;831980;832017;832017	817712;817712;817712;817712;817712;817712;817712;819408;819408;819408;819408;819408;819408;819408;822179;822179;822179;822179;822179;822179;822179;823585;823585;823585;823585;823585;823585;823585;823877;823877;823877;823877;823877;823877;823877;825105;825105;825105;825105;825105;825105;825105;826172;826172;826172;826172;826172;826172;826172;827585;827585;827585;827585;827585;827585;827585;831590;831590;831587;831590;831590;831587;831587;831792;831807;831963;832047;831998;832162;832081	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2166	43
ENSMUSG00000020434	chr11;chr11;chr11	786092;790043;794844	788312;790150;795101	-;-;-	2587	9
ENSMUSG00000020435	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	603735;603735;603738;603738;603738;603922;605393;605393;605393;605393;605393;605393;611698;611698;611698;611698;611698;611698;611962;611962;611962;611962;611962;611962;612130;612130;612130;612130;612130;612130;612463;612463;612463;612463;612463;612463;614475;614475;614475;614475;614475;614475;615092;615092;615092;615092;615092;615092;615501;615501;615501;615501;615501;615501;617101;617101;617101;617101;617101;617101;617798;617798;617798;617798;617856;617916;622100;622104;622104;624406;626323;626323;626323;626323;626323;673710;673710;674591;675108;719841;719841;763237;763237	605210;605210;605210;605210;605210;605210;605618;605618;605618;605618;605618;605618;611872;611872;611872;611872;611872;611872;612056;612056;612056;612056;612056;612056;612232;612232;612232;612232;612232;612232;612582;612582;612582;612582;612582;612582;614719;614719;614719;614719;614719;614719;615237;615237;615237;615237;615237;615237;615554;615554;615554;615554;615554;615554;617213;617217;617217;617217;617217;617217;617989;617989;617989;617989;617989;617989;622163;622219;622219;626578;626578;626578;626578;626578;626578;673792;673781;674735;675129;720048;720048;763906;763906	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	6370	141
ENSMUSG00000020439	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	417527;417527;417527;417527;417527;417527;417527;417527;420542;420756;420756;420756;420756;420756;420852;421821;421821;421821;421821;421821;421821;421821;421821;421821;422465;422465;422465;422465;422465;422465;422465;422465;422465;422779;422779;422779;422779;422779;422779;422779;422779;424637;424637;424637;424637;424637;424637;424637;424637;424887;424887;424887;424887;424887;424887;425046;425046;425046;425046;425046;425046;426169;426169;426169;426169;426169;426169;426169;426169;426332;426332;426332;426332;426332;426332;426332;426332;427432;427432;429444;429444;429444;429444;429444;429444;429771;429771;429771;429771;429771;429771;430374;430374;430374;430374;430374;430374;431049;431049;431049;431049;431049;431049;431206;431206;431206;431206;431206;431206;432021;432415;432415;432415;432415;432415;432415;432464;432602;432602;432602;432602;432602;432602;432602;432607;432765;432765;432765;432765;432765;432765;432765;432765;433379;433379;433379;433379;433379;433379;433379;433379;434818;437327;437327;437327;437327;437327;437327;437327;437327;437327;437559;437559;437559;437640;437675;439116;439116;439116;439116;439116;439116;439116;439116;440578	417830;417830;417830;417830;417830;417830;417830;417830;420919;420919;420919;420919;420919;420919;420919;421971;421971;421971;421971;421971;421971;421971;421971;421971;422581;422581;422581;422557;422581;422581;422581;422581;422581;422951;422951;422951;422951;422951;422951;422951;422951;424729;424729;424729;424729;424729;424729;424729;424729;424948;424948;424948;424948;424948;424948;425209;425209;425209;425209;425209;425209;426243;426243;426243;426243;426243;426243;426243;426243;426483;426483;426483;426483;426483;426483;426483;426483;427940;427940;429615;429615;429615;429615;429615;429615;430285;430285;430285;430285;430285;430285;430444;430444;430444;430444;430444;430444;431120;431120;431120;431120;431120;431120;431525;431525;431525;431525;431525;431525;432072;432511;432511;432511;432511;432511;432511;432511;432679;432679;432679;432679;432679;432679;432679;432679;432857;432857;432857;432857;432857;432857;432857;432857;433526;433526;433526;433526;433526;433526;433526;433526;434855;437439;437439;437439;437439;437439;437439;437401;437439;437439;437608;437608;437608;437746;437746;439295;439295;439326;439255;439252;439254;439242;439295;440615	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4353	24
ENSMUSG00000020448	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	315364;315986;315986;317880;319866;319866;319866;319866;325286;325286;325286;325286;326570;326570;326570;326570;328888;328888;328888;328888;332404;332404;332404;333814;338209;352213;352213;352213	318090;318090;318090;318090;319982;319982;319982;319982;325339;325339;325339;325339;326681;326681;326681;326681;328905;328905;328905;328905;332623;332623;332623;333986;338326;352337;352366;352366	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3693	141
